par,serie_realizado,data_referencia,data_divulgacao,realizado,consenso,surpresa,unidade,data_consenso,dias_sem_mudanca,primeira_leitura
desocupacao,desocupacao,2021-08-01,2021-10-27,13.2,13.84,-0.64,p.p.,2021-09-28,29,False
desocupacao,desocupacao,2021-09-01,2021-11-30,12.7,13.3,-0.6,p.p.,2021-10-29,32,False
desocupacao,desocupacao,2021-10-01,2021-12-28,12.1,12.7,-0.6,p.p.,2021-11-22,36,False
desocupacao,desocupacao,2021-11-01,2022-01-28,11.6,12.05,-0.45,p.p.,2021-12-29,30,False
desocupacao,desocupacao,2021-12-01,2022-02-24,11.1,11.55,-0.45,p.p.,2022-01-28,27,False
desocupacao,desocupacao,2022-01-01,2022-03-18,11.2,11.7,-0.5,p.p.,2022-02-24,22,False
desocupacao,desocupacao,2022-02-01,2022-03-31,11.2,11.5,-0.3,p.p.,2022-03-23,8,False
desocupacao,desocupacao,2022-03-01,2022-04-29,11.1,11.4,-0.3,p.p.,2022-04-25,4,False
desocupacao,desocupacao,2022-04-01,2022-05-31,10.5,11.0,-0.5,p.p.,2022-05-26,5,False
desocupacao,desocupacao,2022-05-01,2022-06-30,9.8,10.3,-0.5,p.p.,2022-06-20,10,False
desocupacao,desocupacao,2022-06-01,2022-07-29,9.3,9.4,-0.1,p.p.,2022-07-25,4,False
desocupacao,desocupacao,2022-07-01,2022-08-31,9.1,9.1,0.0,p.p.,2022-08-29,2,False
desocupacao,desocupacao,2022-08-01,2022-09-30,8.9,8.9,0.0,p.p.,2022-09-23,7,False
desocupacao,desocupacao,2022-09-01,2022-10-27,8.7,8.8,-0.1,p.p.,2022-09-16,41,False
desocupacao,desocupacao,2022-10-01,2022-11-30,8.3,8.6,-0.3,p.p.,2022-11-29,1,False
desocupacao,desocupacao,2022-11-01,2023-01-19,8.1,8.175,-0.075,p.p.,2022-12-30,20,False
desocupacao,desocupacao,2022-12-01,2023-02-28,7.9,8.0,-0.1,p.p.,2023-01-20,39,False
desocupacao,desocupacao,2023-01-01,2023-03-17,8.4,8.3,0.1,p.p.,2023-01-20,56,False
desocupacao,desocupacao,2023-02-01,2023-03-31,8.6,8.695,-0.095,p.p.,2023-03-27,4,False
desocupacao,desocupacao,2023-03-01,2023-04-28,8.8,8.9,-0.1,p.p.,2023-04-04,24,False
desocupacao,desocupacao,2023-04-01,2023-05-31,8.5,8.8,-0.3,p.p.,2023-05-22,9,False
desocupacao,desocupacao,2023-05-01,2023-06-30,8.3,8.4,-0.1,p.p.,2023-06-23,7,False
desocupacao,desocupacao,2023-06-01,2023-07-28,8.0,8.3,-0.3,p.p.,2023-07-27,1,False
desocupacao,desocupacao,2023-07-01,2023-08-31,7.9,8.0,-0.1,p.p.,2023-08-28,3,False
desocupacao,desocupacao,2023-08-01,2023-09-29,7.8,7.85,-0.05,p.p.,2023-09-27,2,False
desocupacao,desocupacao,2023-09-01,2023-10-31,7.7,7.8,-0.1,p.p.,2023-09-29,32,False
desocupacao,desocupacao,2023-10-01,2023-11-30,7.6,7.65,-0.05,p.p.,2023-11-29,1,False
desocupacao,desocupacao,2023-11-01,2023-12-29,7.5,7.5226,-0.0226,p.p.,2023-12-28,1,False
desocupacao,desocupacao,2023-12-01,2024-01-31,7.4,7.5,-0.1,p.p.,2024-01-11,20,False
desocupacao,desocupacao,2024-01-01,2024-02-29,7.6,7.8,-0.2,p.p.,2024-02-02,27,False
desocupacao,desocupacao,2024-02-01,2024-03-28,7.8,7.9,-0.1,p.p.,2024-03-18,10,False
desocupacao,desocupacao,2024-03-01,2024-04-30,7.9,8.0,-0.1,p.p.,2024-04-19,11,False
desocupacao,desocupacao,2024-04-01,2024-05-29,7.5,7.8,-0.3,p.p.,2024-05-24,5,False
desocupacao,desocupacao,2024-05-01,2024-06-28,7.1,7.4,-0.3,p.p.,2024-06-24,4,False
desocupacao,desocupacao,2024-06-01,2024-07-31,6.9,7.0,-0.1,p.p.,2024-07-26,5,False
desocupacao,desocupacao,2024-07-01,2024-08-30,6.8,6.88,-0.08,p.p.,2024-08-29,1,False
desocupacao,desocupacao,2024-08-01,2024-09-27,6.6,6.8,-0.2,p.p.,2024-09-06,21,False
desocupacao,desocupacao,2024-09-01,2024-10-31,6.4,6.6,-0.2,p.p.,2024-10-14,17,False
desocupacao,desocupacao,2024-10-01,2024-11-29,6.2,6.3,-0.1,p.p.,2024-11-22,7,False
desocupacao,desocupacao,2024-11-01,2024-12-27,6.1,6.1,0.0,p.p.,2024-12-10,17,False
desocupacao,desocupacao,2024-12-01,2025-01-31,6.2,6.0,0.2,p.p.,2024-12-20,42,False
desocupacao,desocupacao,2025-01-01,2025-02-27,6.5,6.5,0.0,p.p.,2025-02-25,2,False
desocupacao,desocupacao,2025-02-01,2025-03-28,6.8,6.76,0.04,p.p.,2025-03-27,1,False
desocupacao,desocupacao,2025-03-01,2025-04-30,7.0,7.0,0.0,p.p.,2025-04-17,13,False
desocupacao,desocupacao,2025-04-01,2025-05-29,6.6,6.9,-0.3,p.p.,2025-05-02,27,False
desocupacao,desocupacao,2025-05-01,2025-06-27,6.2,6.56,-0.36,p.p.,2025-06-23,4,False
desocupacao,desocupacao,2025-06-01,2025-07-31,5.8,6.1,-0.3,p.p.,2025-07-18,13,False
desocupacao,desocupacao,2025-07-01,2025-09-16,5.6,5.8,-0.2,p.p.,2025-08-25,22,False
desocupacao,desocupacao,2025-08-01,2025-09-30,5.6,5.7,-0.1,p.p.,2025-09-19,11,False
desocupacao,desocupacao,2025-09-01,2025-10-31,5.6,5.66,-0.06,p.p.,2025-10-28,3,False
desocupacao,desocupacao,2025-10-01,2025-11-28,5.4,5.6,-0.2,p.p.,2025-11-03,25,False
desocupacao,desocupacao,2025-11-01,2025-12-30,5.2,5.405,-0.205,p.p.,2025-12-26,4,False
