corte_crescimento,persistencia,recessao_id,granularidade,pico,vale,cobertura,detectada,episodio_inicio,episodio_fim,defasagem_pico,defasagem_pico_primeiro,defasagem_vale,meses_sobrepostos,cobertura_da_recessao
zero,1,2008-2008,mensal,2008-08,2008-12,parcial,True,2008-10,2009-03,1,1,3,3,0.75
zero,1,2014-2016,mensal,2014-03,2016-12,completa,True,2015-01,2017-01,9,-1,1,24,0.727
zero,1,2019-2020,trimestral,2019-12,2020-06,completa,True,2020-03,2020-07,2,2,1,4,0.667
zero,2,2008-2008,mensal,2008-08,2008-12,parcial,True,2008-11,2009-04,2,2,4,2,0.5
zero,2,2014-2016,mensal,2014-03,2016-12,completa,True,2015-02,2017-02,10,0,2,23,0.697
zero,2,2019-2020,trimestral,2019-12,2020-06,completa,True,2020-04,2020-08,3,3,2,3,0.5
zero,3,2008-2008,mensal,2008-08,2008-12,parcial,True,2008-12,2009-05,3,3,5,1,0.25
zero,3,2014-2016,mensal,2014-03,2016-12,completa,True,2015-03,2017-03,11,1,3,22,0.667
zero,3,2019-2020,trimestral,2019-12,2020-06,completa,True,2020-05,2020-09,4,4,3,2,0.333
zero,4,2008-2008,mensal,2008-08,2008-12,parcial,False,,,,,,0,0.0
zero,4,2014-2016,mensal,2014-03,2016-12,completa,True,2014-06,2017-04,2,2,4,31,0.939
zero,4,2019-2020,trimestral,2019-12,2020-06,completa,True,2020-06,2020-10,5,5,4,1,0.167
zero,5,2008-2008,mensal,2008-08,2008-12,parcial,False,,,,,,0,0.0
zero,5,2014-2016,mensal,2014-03,2016-12,completa,True,2014-07,2017-05,3,3,5,30,0.909
zero,5,2019-2020,trimestral,2019-12,2020-06,completa,False,,,,,,0,0.0
zero,6,2008-2008,mensal,2008-08,2008-12,parcial,False,,,,,,0,0.0
zero,6,2014-2016,mensal,2014-03,2016-12,completa,True,2014-08,2017-06,4,4,6,29,0.879
zero,6,2019-2020,trimestral,2019-12,2020-06,completa,False,,,,,,0,0.0
mediana,1,2008-2008,mensal,2008-08,2008-12,parcial,True,2008-09,2009-04,0,0,4,4,1.0
mediana,1,2014-2016,mensal,2014-03,2016-12,completa,True,2013-07,2017-02,-9,-9,2,33,1.0
mediana,1,2019-2020,trimestral,2019-12,2020-06,completa,True,2020-01,2020-07,0,0,1,6,1.0
mediana,2,2008-2008,mensal,2008-08,2008-12,parcial,True,2008-10,2009-05,1,1,5,3,0.75
mediana,2,2014-2016,mensal,2014-03,2016-12,completa,True,2013-08,2017-03,-8,-8,3,33,1.0
mediana,2,2019-2020,trimestral,2019-12,2020-06,completa,True,2020-02,2020-08,1,1,2,5,0.833
mediana,3,2008-2008,mensal,2008-08,2008-12,parcial,True,2008-11,2009-06,2,2,6,2,0.5
mediana,3,2014-2016,mensal,2014-03,2016-12,completa,True,2012-11,2017-04,-17,-17,4,33,1.0
mediana,3,2019-2020,trimestral,2019-12,2020-06,completa,True,2019-01,2020-09,-12,-12,3,6,1.0
mediana,4,2008-2008,mensal,2008-08,2008-12,parcial,True,2008-05,2009-07,-4,-4,7,4,1.0
mediana,4,2014-2016,mensal,2014-03,2016-12,completa,True,2010-09,2020-10,-43,-43,46,33,1.0
mediana,4,2019-2020,trimestral,2019-12,2020-06,completa,True,2010-09,2020-10,-112,-112,4,6,1.0
mediana,5,2008-2008,mensal,2008-08,2008-12,parcial,True,2008-05,2009-08,-4,-4,8,4,1.0
mediana,5,2014-2016,mensal,2014-03,2016-12,completa,True,2011-04,2020-11,-36,-36,47,33,1.0
mediana,5,2019-2020,trimestral,2019-12,2020-06,completa,True,2011-04,2020-11,-105,-105,5,6,1.0
mediana,6,2008-2008,mensal,2008-08,2008-12,parcial,True,2008-05,2009-09,-4,-4,9,4,1.0
mediana,6,2014-2016,mensal,2014-03,2016-12,completa,True,2011-05,2020-12,-35,-35,48,33,1.0
mediana,6,2019-2020,trimestral,2019-12,2020-06,completa,True,2011-05,2020-12,-104,-104,6,6,1.0
