corte_crescimento,persistencia,recessoes_avaliadas,recessoes_detectadas,defasagem_pico_mediana,defasagem_vale_mediana,defasagem_pico_max,trocas_de_quadrante,episodios_fora_de_recessao,meses_fora_de_recessao,episodios_apos_ultimo_vale,episodios_totais,maior_episodio_meses,meses_da_janela,meses_com_sinal_na_janela,meses_de_recessao_na_janela,fracao_da_janela_com_sinal
mediana,1,3,3,0.0,2.0,0,52,8,53,8,19,44,146,111,43,0.76
mediana,2,3,3,1.0,3.0,1,46,7,55,6,16,44,146,112,43,0.767
mediana,3,3,3,-12.0,4.0,2,33,4,38,5,12,54,146,118,43,0.808
mediana,4,3,3,-43.0,7.0,-4,15,0,0,4,6,122,146,133,43,0.911
mediana,5,3,3,-36.0,8.0,-4,13,0,0,3,5,116,146,127,43,0.87
mediana,6,3,3,-35.0,9.0,-4,10,0,0,2,4,116,146,127,43,0.87
zero,1,3,3,2.0,1.0,9,43,5,16,6,15,25,146,58,43,0.397
zero,2,3,3,3.0,2.0,10,36,4,15,4,12,25,146,56,43,0.384
zero,3,3,3,4.0,3.0,11,28,3,13,3,10,25,146,53,43,0.363
zero,4,3,2,3.5,4.0,5,16,3,16,1,6,35,146,52,43,0.356
zero,5,3,1,3.0,5.0,3,14,2,12,2,5,35,146,47,43,0.322
zero,6,3,1,4.0,6.0,4,10,2,12,0,3,35,146,47,43,0.322
